Team,W,L,ERA,SO,WHIP,FIP
Red Sox,97,65,3.79,1294,1.3,3.84
Indians,92,70,3.82,1379,1.33,3.73
Brewers,74,88,3.84,1125,1.29,4.12
Diamondbacks,81,81,3.92,1218,1.3,4.04
Yankees,85,77,3.94,1233,1.31,3.89
Padres,76,86,3.98,1171,1.33,4
White Sox,63,99,4,1249,1.33,4.13
Cubs,66,96,4,1184,1.29,4.1
Giants,76,86,4,1256,1.31,3.8
Orioles,85,77,4.2,1169,1.32,4.33
Angels,78,84,4.24,1200,1.38,4.08
Blue Jays,74,88,4.26,1208,1.34,4.3
Mariners,71,91,4.32,1297,1.33,3.89
Phillies,73,89,4.34,1199,1.37,3.94
Rockies,74,88,4.44,1064,1.44,3.96
Twins,66,96,4.55,985,1.41,4.23
Astros,51,111,4.79,1084,1.49,4.67
Nationals,96,66,3.03,1288,1.16,3.18
Mariners,87,75,3.17,1317,1.17,3.61
Athletics,88,74,3.22,1244,1.14,3.67
Padres,77,85,3.27,1284,1.22,3.46
Braves,79,83,3.38,1301,1.27,3.47
Dodgers,94,68,3.4,1373,1.21,3.48
Orioles,96,66,3.44,1174,1.24,3.96
Pirates,88,74,3.49,1228,1.26,3.8
Mets,79,83,3.49,1303,1.28,3.75
Giants,88,74,3.5,1211,1.17,3.58
Cardinals,90,72,3.5,1221,1.24,3.65
Royals,89,73,3.51,1168,1.26,3.69
Rays,77,85,3.56,1437,1.21,3.56
Indians,85,77,3.57,1450,1.27,3.42
Angels,98,64,3.58,1342,1.22,3.57
Reds,76,86,3.59,1290,1.24,4.01
Brewers,82,80,3.67,1246,1.25,3.89
Yankees,84,78,3.75,1370,1.23,3.67
Marlins,77,85,3.79,1190,1.33,3.56
Phillies,73,89,3.81,1255,1.31,3.81
Cubs,73,89,3.92,1311,1.3,3.51
Blue Jays,83,79,4,1199,1.31,3.97
Red Sox,71,91,4.01,1213,1.32,3.93
Tigers,90,72,4.01,1244,1.33,3.6
Astros,70,92,4.14,1137,1.34,3.93
Diamondbacks,64,98,4.26,1278,1.34,3.83
White Sox,73,89,4.3,1152,1.41,4.1
Rangers,67,95,4.49,1110,1.41,4.22
Twins,70,92,4.58,1031,1.39,3.97
Rockies,66,96,4.86,1074,1.44,4.43
Cardinals,100,62,2.94,1329,1.25,3.48
Pirates,98,64,3.23,1338,1.24,3.36
Cubs,97,65,3.36,1431,1.15,3.3
Mets,90,72,3.45,1337,1.18,3.53
Dodgers,92,70,3.46,1396,1.18,3.41
Astros,86,76,3.57,1280,1.2,3.66
Nationals,83,79,3.62,1342,1.21,3.45
Indians,81,80,3.68,1407,1.19,3.62
Giants,84,78,3.73,1165,1.23,3.92
Royals,95,67,3.74,1160,1.28,4.04
Rays,80,82,3.74,1355,1.23,3.91
Blue Jays,93,69,3.81,1117,1.21,4.09
Angels,85,77,3.94,1221,1.26,4.06
White Sox,76,86,3.98,1359,1.32,3.82
Yankees,87,75,4.03,1370,1.3,3.97
Marlins,71,91,4.04,1152,1.32,3.98
Diamondbacks,79,83,4.05,1215,1.33,4.21
Orioles,81,81,4.05,1233,1.32,4.11
Twins,83,79,4.07,1046,1.33,4.1
Padres,74,88,4.09,1393,1.31,3.93
Athletics,68,94,4.16,1179,1.3,4.13
Mariners,76,86,4.16,1283,1.31,4.14
Rangers,88,74,4.25,1095,1.36,4.34
